Time(Iteration),CascadeUCB
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,3.0
98,3.0
99,3.0
100,3.0
101,3.0
102,3.0
103,3.0
104,3.0
105,3.0
106,3.0
107,3.0
108,3.0
109,3.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,3.0
117,3.0
118,3.0
119,3.0
120,3.0
121,3.0
122,3.0
123,3.0
124,3.0
125,3.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,3.0
138,3.0
139,3.0
140,3.0
141,3.0
142,3.0
143,3.0
144,3.0
145,3.0
146,3.0
147,3.0
148,3.0
149,3.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,4.0
205,4.0
206,4.0
207,4.0
208,4.0
209,4.0
210,4.0
211,4.0
212,4.0
213,4.0
214,4.0
215,4.0
216,4.0
217,4.0
218,4.0
219,4.0
220,4.0
221,4.0
222,4.0
223,4.0
224,4.0
225,4.0
226,4.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,4.0
239,4.0
240,4.0
241,4.0
242,4.0
243,4.0
244,4.0
245,4.0
246,4.0
247,4.0
248,4.0
249,4.0
250,4.0
251,4.0
252,4.0
253,4.0
254,4.0
255,4.0
256,4.0
257,5.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,5.0
265,5.0
266,5.0
267,5.0
268,5.0
269,5.0
270,5.0
271,5.0
272,5.0
273,5.0
274,5.0
275,5.0
276,5.0
277,5.0
278,5.0
279,5.0
280,5.0
281,5.0
282,5.0
283,5.0
284,5.0
285,5.0
286,5.0
287,5.0
288,5.0
289,5.0
290,5.0
291,5.0
292,5.0
293,5.0
294,5.0
295,5.0
296,5.0
297,5.0
298,5.0
299,5.0
300,5.0
301,5.0
302,5.0
303,5.0
304,5.0
305,5.0
306,5.0
307,5.0
308,5.0
309,5.0
310,5.0
311,5.0
312,5.0
313,5.0
314,5.0
315,5.0
316,5.0
317,5.0
318,5.0
319,5.0
320,5.0
321,5.0
322,5.0
323,5.0
324,5.0
325,5.0
326,5.0
327,5.0
328,5.0
329,5.0
330,5.0
331,5.0
332,5.0
333,5.0
334,5.0
335,5.0
336,5.0
337,5.0
338,5.0
339,5.0
340,5.0
341,5.0
342,5.0
343,5.0
344,5.0
345,5.0
346,5.0
347,5.0
348,5.0
349,5.0
350,5.0
351,5.0
352,5.0
353,5.0
354,5.0
355,5.0
356,5.0
357,5.0
358,5.0
359,5.0
360,5.0
361,5.0
362,5.0
363,5.0
364,5.0
365,5.0
366,5.0
367,5.0
368,5.0
369,5.0
370,5.0
371,5.0
372,5.0
373,5.0
374,5.0
375,5.0
376,5.0
377,5.0
378,5.0
379,5.0
380,5.0
381,5.0
382,5.0
383,5.0
384,6.0
385,6.0
386,6.0
387,6.0
388,6.0
389,6.0
390,6.0
391,6.0
392,6.0
393,6.0
394,6.0
395,6.0
396,6.0
397,6.0
398,6.0
399,6.0
400,6.0
401,6.0
402,6.0
403,6.0
404,6.0
405,6.0
406,6.0
407,6.0
408,6.0
409,6.0
410,6.0
411,6.0
412,6.0
413,6.0
414,6.0
415,6.0
416,6.0
417,6.0
418,6.0
419,6.0
420,6.0
421,6.0
422,6.0
423,6.0
424,6.0
425,6.0
426,6.0
427,6.0
428,6.0
429,6.0
430,6.0
431,6.0
432,6.0
433,6.0
434,6.0
435,6.0
436,6.0
437,6.0
438,6.0
439,6.0
440,6.0
441,6.0
442,6.0
443,6.0
444,6.0
445,6.0
446,6.0
447,6.0
448,6.0
449,6.0
450,6.0
451,6.0
452,6.0
453,6.0
454,6.0
455,6.0
456,6.0
457,6.0
458,6.0
459,6.0
460,6.0
461,6.0
462,6.0
463,6.0
464,6.0
465,6.0
466,6.0
467,6.0
468,6.0
469,6.0
470,6.0
471,6.0
472,6.0
473,6.0
474,6.0
475,6.0
476,6.0
477,6.0
478,6.0
479,6.0
480,6.0
481,6.0
482,6.0
483,6.0
484,6.0
485,6.0
486,6.0
487,6.0
488,6.0
489,6.0
490,6.0
491,6.0
492,6.0
493,6.0
494,6.0
495,6.0
496,6.0
497,6.0
498,6.0
499,6.0
500,6.0
501,6.0
502,6.0
503,6.0
504,6.0
505,6.0
506,6.0
507,6.0
508,6.0
509,6.0
510,6.0
511,6.0
512,6.0
513,6.0
514,6.0
515,6.0
516,6.0
517,6.0
518,6.0
519,6.0
520,6.0
521,6.0
522,6.0
523,6.0
524,6.0
525,6.0
526,6.0
527,6.0
528,6.0
529,6.0
530,6.0
531,6.0
532,6.0
533,6.0
534,7.0
535,7.0
536,7.0
537,7.0
538,7.0
539,7.0
540,7.0
541,7.0
542,8.0
543,8.0
544,8.0
545,8.0
546,8.0
547,8.0
548,8.0
549,8.0
550,8.0
551,8.0
552,8.0
553,8.0
554,8.0
555,8.0
556,8.0
557,8.0
558,8.0
559,8.0
560,8.0
561,8.0
562,8.0
563,8.0
564,8.0
565,8.0
566,8.0
567,8.0
568,8.0
569,8.0
