Time(Iteration),CascadeUCB
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,3.0
6,3.0
7,3.0
8,4.0
9,4.0
10,6.0
11,6.0
12,7.0
13,7.0
14,7.0
15,8.0
16,8.0
17,8.0
18,8.0
19,9.0
20,9.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,11.0
28,11.0
29,11.0
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,11.0
36,11.0
37,11.0
38,11.0
39,11.0
40,11.0
41,11.0
42,11.0
43,11.0
44,11.0
45,12.0
46,13.0
47,13.0
48,13.0
49,14.0
50,14.0
51,14.0
52,14.0
53,15.0
54,15.0
55,15.0
56,15.0
57,15.0
58,15.0
59,15.0
60,15.0
61,15.0
62,15.0
63,16.0
64,16.0
65,16.0
66,16.0
67,18.0
68,18.0
69,18.0
70,19.0
71,19.0
72,19.0
73,19.0
74,19.0
75,19.0
76,19.0
77,19.0
78,19.0
79,19.0
80,19.0
81,19.0
82,19.0
83,20.0
84,20.0
85,20.0
86,20.0
87,21.0
88,21.0
89,21.0
90,21.0
91,21.0
92,21.0
93,21.0
94,21.0
95,21.0
96,21.0
97,21.0
98,21.0
99,21.0
100,21.0
101,22.0
102,23.0
103,23.0
104,23.0
105,23.0
106,23.0
107,23.0
108,23.0
109,24.0
110,25.0
111,25.0
112,25.0
113,27.0
114,27.0
115,28.0
116,28.0
117,28.0
118,28.0
119,30.0
120,30.0
121,30.0
122,30.0
123,30.0
124,30.0
125,30.0
126,31.0
127,32.0
128,32.0
129,32.0
130,32.0
131,32.0
132,32.0
133,33.0
134,33.0
135,33.0
136,34.0
137,35.0
138,35.0
139,36.0
140,36.0
141,36.0
142,37.0
143,38.0
144,38.0
145,38.0
146,38.0
147,38.0
148,39.0
149,39.0
150,39.0
151,39.0
152,39.0
153,39.0
154,39.0
155,39.0
156,39.0
157,39.0
158,39.0
159,40.0
160,40.0
161,40.0
162,40.0
163,40.0
164,40.0
165,40.0
166,40.0
167,40.0
168,41.0
169,41.0
170,41.0
171,41.0
172,41.0
173,41.0
174,41.0
175,41.0
176,41.0
177,41.0
178,42.0
179,43.0
180,43.0
181,44.0
182,44.0
183,44.0
184,44.0
185,44.0
186,44.0
187,44.0
188,44.0
189,44.0
190,44.0
191,45.0
192,45.0
193,45.0
194,46.0
195,48.0
196,48.0
197,49.0
198,49.0
199,49.0
200,49.0
201,52.0
202,52.0
203,52.0
204,52.0
205,53.0
206,53.0
