Time(Iteration),CascadeUCB
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,3.0
37,3.0
38,3.0
39,3.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
48,3.0
49,4.0
50,4.0
51,4.0
52,4.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,6.0
69,6.0
70,6.0
71,7.0
72,7.0
73,7.0
74,7.0
75,7.0
76,7.0
77,7.0
78,7.0
79,7.0
80,7.0
81,7.0
82,7.0
83,7.0
84,7.0
85,7.0
86,7.0
87,7.0
88,8.0
89,8.0
90,8.0
91,8.0
92,8.0
93,8.0
94,8.0
95,8.0
96,9.0
97,9.0
98,9.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,11.0
112,11.0
113,11.0
114,11.0
115,11.0
116,11.0
117,11.0
118,11.0
119,11.0
120,11.0
121,11.0
122,11.0
123,11.0
124,11.0
125,11.0
126,13.0
127,13.0
128,14.0
129,14.0
130,14.0
131,14.0
132,14.0
133,14.0
134,14.0
135,14.0
136,15.0
137,15.0
138,15.0
139,15.0
140,15.0
141,16.0
142,17.0
143,17.0
144,17.0
145,17.0
146,17.0
147,17.0
148,17.0
149,17.0
150,17.0
151,17.0
152,17.0
153,17.0
154,17.0
155,17.0
156,17.0
157,17.0
158,17.0
159,17.0
160,17.0
161,17.0
162,17.0
163,17.0
164,17.0
165,17.0
166,17.0
167,17.0
168,17.0
169,17.0
170,17.0
171,17.0
172,17.0
173,17.0
174,17.0
175,17.0
176,17.0
177,17.0
178,17.0
179,17.0
180,17.0
181,17.0
182,17.0
183,17.0
184,17.0
185,17.0
186,17.0
187,17.0
188,17.0
189,17.0
190,17.0
191,17.0
192,17.0
193,17.0
194,17.0
195,17.0
196,17.0
197,18.0
198,19.0
